comparison,Pool-16,Pool-24,Pool-32,Pool-48,Pool-64,Pool-80
singlet,0.9994475748536074,0.998770932554924,0.9990258158792011,0.9989268467179395,0.9984104830580756,0.9983559391697493
doublet,0.9897084048027445,0.9908675799086758,0.9942252165543792,0.9946808510638298,0.9973164956590371,0.9964522774090181
multiplet,0.9032258064516129,0.9634146341463414,0.9349112426035503,0.9731051344743277,0.9789823008849557,0.9888406695598264
no_hash,0.9565217391304348,1.0,0.9539473684210527,0.9552845528455285,0.9663461538461539,0.9789719626168224
singlet_pops,1.0,1.0,1.0,1.0,1.0,1.0
